,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
Plot 11,3216.7,2919.5,3065.1,3128.4,3106.7,3151.1,3196.3,3181.6,3170.9,3178.1,3184.5,3195.4,3220,3149.9,3166.3,3249.2,3274.6,3200.1,3238.5,3208.9,3257.2,3234.5,3260.4,3281,3313,3159.2,3278,3311.55,3269.5,3501.7
Plot 12,3725.5,3624.3,3655.1,3728,3617.8,3717.3,3560,3517.9,3548.9,3538.8,3579.6,3551.2,3771.4,3675.8,3719.7,3711.9,3784.5,3541.4,3793.2,3788.3,3818.4,3771.4,3782.1,3750.8,3828.7,3814.1,3766.7,3757.1,3595.4,3755.5
Plot 13,3263.39,3000.3,3134.7,3130.4,3246.3,3234.8,3232.5,3242.5,3259.9,3195.2,3199,3224.1,3305.5,3277.6,3281,3338.5,3347.7,3336,3345.5,3341.6,3339,3304.1,3334.1,3359.9,3366.7,3380,3336.4,3411.5,3321.5,3321.3
Plot 14,3097.4,2857.9,2847.2,2918.6,2972.1,3041.7,2938.8,2924.3,2929.3,2909.3,2974.4,2942.3,3094.7,3043.2,3074,3106,3132.2,3003.3,3126.1,3129.5,3120.4,3056.8,3116.4,3139.2,3101.2,3137.2,3079.9,3097.8,2957.8,3033.7
Plot 15,2845.5,2751.9,2790.5,2765.6,2676.4,2827.3,2740.5,2701.2,2715.8,2695.8,2659.8,2766.4,2807.3,2813.1,2821.6,2856.4,2863.7,2751.9,2816.8,2879.5,2870.3,2829.3,2897.5,2904.7,2875.5,2900.1,2869.7,2849,2773.8,2774.9
Plot 16,2903.4,2668.2,2740.9,2852.9,2758,2967,2877.7,2824.4,2847.3,2812,2849.2,2882.3,2950.3,2949.8,2942.8,3024.1,3010.9,2810.8,3026.4,2992.3,3021.1,2952.1,3022.1,3008.8,3026.8,3006.5,2993.8,2973.2,2818.5,2933.4
Plot 17,3079,2831.3,2798.6,2917.4,2751.1,2944.1,2812.9,2779.3,2785.7,2805.2,2773.5,2742.4,2902.1,2848.9,2950.3,2901.5,2962.8,2797.8,3001.8,2991.6,2970.4,2947.5,2978.5,2974.6,2970.5,2940.4,2969.4,2974,2720.3,2828.5
Plot 18,2839,2544.9,2635.1,2654.3,2472.9,2700,2583.2,2616.7,2624.5,2582.9,2606,2562.2,2637.5,2674.1,2703.2,2791.9,2791.3,2621.7,2743.9,2810.7,2798.3,2774,2795.9,2750.5,2814.6,2883.9,2755.8,2718.3,2681.5,2710.7
Plot 19,2930.9,2761.5,2774.3,2700.2,2707.5,2913.2,2860.7,2866,2889.5,2864.3,2776.7,2803.5,2878.1,2895.5,2937.2,3012.6,3039,2954.5,3034.5,3047.6,3018.5,2963.6,3059.8,3029.6,3031.6,3064,3045.6,3061.4,2918.2,2936.2
Plot 20,3179.1,2918.3,2951.3,2922,2945.1,3151.5,3041.4,3015.63,3069.3,3092.3,3052.2,3038.9,3152.1,3161.9,3229.3,3257.9,3318.9,3127.1,3227,3306.7,3281.4,3195.7,3280.4,3286.5,3312.4,3348.9,3255.4,3287.3,3183.3,3143.9
